Type,Country,InfraAvg,Treatment_Avg,SEdPc_Avg,Biomark_Avg,Clinical_Avg
Breast,South Africa,4,3,3,3.6,2.8
Breast,Kenya,2,2,2,2.6,1.8
Breast,Nigeria,2,2,1.7,2,1.8
Breast,Egypt,3.5,3,3,3.6,3
Breast,Morocco,3.5,2.3,3,2.6,2.6
Breast,Algeria,3.5,2,2,2.6,2.6
Breast,Ethiopia,1.5,1,1,1.6,1
Breast,India,4,3,3,3.6,2.8
Breast,Japan,4,4,4,5,4.8
Breast,South Korea,4,4,4,5,4.6
Breast,China,3,3.3,3,4,3.8
Breast,Thailand,4,3,3,3.6,3.6
Breast,Singapore,4.5,4.7,4.3,5,4.6
Breast,United Kingdom,4,4.7,4.3,5,4.6
Breast,Germany,4.5,5,5,5,4.8
Breast,France,4,4.7,4.3,5,4.6
Breast,Netherlands,4,5,5,5,4.6
Breast,Sweden,4,5,5,5,4.6
Breast,Italy,2.5,4,4,5,4.6
Breast,Spain,3.5,4,4,5,4.6
Breast,Poland,3,3,3,3.6,3.6
Breast,Mexico,2,2.3,2.3,2.6,2.8
Breast,Brazil,2.5,3,3,2.6,2.8
Breast,Argentina,2,3,3,2.6,2.8
Breast,Chile,3,2.7,2.7,3.6,3.6
Breast,Colombia,3,2.3,2.3,2.6,2.8
Breast,United States,4.5,5,5,5,4.6
Breast,Canada,4,5,4.7,5,4.6
Breast,Australia,4,4.3,4,5,4.6
Breast,New Zealand,4,4,4,5,4.6
Breast,Greece,3,3,3,3.6,3.6
Breast,Rwanda,1,1,1,1.6,1
Breast,Uganda,1,1,1,1.6,1
Breast,Serbia,3,3,3,2.6,2.8
Lung,South Africa,3,3.5,3,2.7,2.8
Lung,Kenya,1.5,1,1,2.2,1.8
Lung,Nigeria,1.5,1,1,2.1,1.8
Lung,Egypt,2.5,2,2,3.1,2.8
Lung,Morocco,2,2,2,2.9,2.8
Lung,Algeria,2,2,2,2.7,1.8
Lung,Ethiopia,1,1,1,1.9,1.2
Lung,India,3.5,3,3,2.9,2
Lung,Japan,5,4.5,4.5,4.2,4.6
Lung,South Korea,5,4.5,4.5,4.1,4.6
Lung,China,4,3.5,3.5,3.4,3
Lung,Thailand,3,3,3,3.4,3
Lung,Singapore,5,5,5,4,4.6
Lung,United Kingdom,5,5,5,3.8,4.6
Lung,Germany,4.5,5,5,4,4.6
Lung,France,5,4.5,5,3.7,4.6
Lung,Netherlands,4.5,5,5,3.7,4.6
Lung,Sweden,4.5,5,5,3.6,4.6
Lung,Italy,4.5,4,4.5,3.6,3.6
Lung,Spain,4.5,4,4.5,3.5,3.6
Lung,Poland,3.5,3.5,3.5,3.2,2.8
Lung,Mexico,2.5,2.5,2.5,3.3,2.8
Lung,Brazil,3,3,3,3.4,3
Lung,Argentina,3,3,3,3.4,3
